Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Smp_Reward_Mean          Smp_Reward_Std           Sds_Loss_Mean            Sds_Loss_Std             Sim_Recording            Obs_Norm_Mean            Obs_Norm_Std             
0                        0.010030564069747925     131072                   15.165971755981445       16.54581642150879        14754                    8.754790306091309        9.610074996948242        9507                     4.52107572555542         -0.0032462477684020996   0.130076602101326        0.9996845126152039       0.0                      2.6058177947998047       1.6777174472808838       0.07005497813224792      0.1461162269115448       2.1092703342437744       2.0381994247436523       0.540438711643219        0.45060187578201294      1.0                      
200                      0.2740124718348185       26345472                 34.74527359008789        37.776756286621094       8622                     25.115406036376953       27.321414947509766       956357                   1.6496142148971558       -0.005858665332198143    0.08104401081800461      0.9995543360710144       0.0                      0.02273275889456272      1.2873913049697876       0.08994968235492706      0.20357240736484528      3.8208236694335938       2.565300703048706        0.44635966420173645      0.4607996344566345       1.0                      
400                      0.5515571678347058       52559872                 77.87266540527344        91.4007568359375         18081                    49.190223693847656       55.2408447265625         470094                   13.421843528747559       -0.005754514131695032    0.08921509236097336      0.9998853802680969       1.9258651207110233e-07   0.02404322475194931      3.670050621032715        0.10845984518527985      0.16783690452575684      2.182666301727295        1.6946855783462524       0.42802754044532776      0.510423481464386        1.0                      
600                      0.8371620159016715       78774272                 89.45234680175781        105.44889831542969       19492                    86.62699127197266        103.51960754394531       250126                   16.827632904052734       -0.006195384543389082    0.09029846638441086      1.0001217126846313       4.739485575555591e-06    0.10213969647884369      4.1096391677856445       0.1643339991569519       0.17769421637058258      2.018010139465332        1.9117705821990967       0.41235512495040894      0.5450598001480103       1.0                      
800                      1.1236085167196062       104988672                99.5680160522461         119.28084564208984       17291                    102.63656616210938       123.92567443847656       208215                   18.425308227539062       -0.007179019507020712    0.08727569878101349      1.0002223253250122       1.7942726344699622e-06   0.003930395469069481     4.300412654876709        0.15205810964107513      0.17937952280044556      2.3141820430755615       2.016498327255249        0.4041995108127594       0.5612525343894958       1.0                      
1000                     1.40983563694689         131203072                115.29241943359375       140.97711181640625       14086                    119.16259002685547       145.99949645996094       176127                   17.805282592773438       -0.008860823698341846    0.10097046196460724      1.0001111030578613       8.399030775763094e-06    0.03948388621211052      4.232497692108154        0.13785237073898315      0.1811297982931137       2.805436134338379        2.2310190200805664       0.4041995108127594       0.5612525343894958       1.0                      
1200                     1.6954358851909637       157417472                137.91622924804688       170.87742614746094       10945                    141.20458984375          175.80682373046875       145781                   18.46165657043457        -0.010029839351773262    0.11196136474609375      0.9998558163642883       4.3001596168323886e-06   0.04442164674401283      4.308114528656006        0.13323462009429932      0.1879272162914276       3.1852898597717285       2.419339895248413        0.4041995108127594       0.5612525343894958       1.0                      
1400                     1.9788922634389665       183631872                152.2659149169922        190.18800354003906       9614                     160.89968872070312       201.97747802734375       126633                   17.799169540405273       -0.012925381772220135    0.10795135796070099      0.9998784065246582       1.1329764220135985e-06   0.03513416275382042      4.236242294311523        0.13044536113739014      0.1921478658914566       3.305197238922119        2.457465648651123        0.4041995108127594       0.5612525343894958       1.0                      
1600                     2.261984655790859        209846272                173.89102172851562       218.7810821533203        8213                     180.65219116210938       228.37677001953125       111611                   18.053665161132812       -0.013219758868217468    0.13693390786647797      0.9998936057090759       1.7670183751761215e-06   -0.09073126316070557     4.27095365524292         0.12298070639371872      0.18730659782886505      3.583954334259033        2.738337993621826        0.4041995108127594       0.5612525343894958       1.0                      
1800                     2.5454844349622725       236060672                203.88626098632812       257.5566711425781        6859                     204.82147216796875       260.2962341308594        97625                    16.97279930114746        -0.01571018621325493     0.12485046684741974      0.9999584555625916       4.418330263433745e-06    -0.0009424695745110512   4.138592720031738        0.12369959056377411      0.18577858805656433      3.636859893798828        2.897876024246216        0.4041995108127594       0.5612525343894958       1.0                      
2000                     2.8288028471999698       262275072                231.46047973632812       292.8155517578125        6124                     228.96495056152344       291.23077392578125       87024                    16.771717071533203       -0.018817618489265442    0.12111053615808487      1.0000470876693726       1.8054033716907725e-06   -0.006390979513525963    4.130873680114746        0.14060717821121216      0.18803778290748596      3.435070514678955        3.074814558029175        0.4041995108127594       0.5612525343894958       1.0                      
2200                     3.112771895064248        288489472                277.95111083984375       350.889892578125         5293                     252.58047485351562       321.2312316894531        78707                    17.67111587524414        -0.019187619909644127    0.1296737641096115       1.00008225440979         4.188737420918187e-06    0.12939132750034332      4.232052803039551        0.17015168070793152      0.19797945022583008      3.151439666748047        3.203913927078247        0.4041995108127594       0.5612525343894958       1.0                      
2400                     3.3966604687107935       314703872                350.259033203125         439.8285217285156        4543                     291.50213623046875       370.4444580078125        68002                    15.233043670654297       -0.02332235686480999     0.11958771198987961      1.0001558065414429       1.2821073141822126e-05   0.0995202586054802       3.9318034648895264       0.19945022463798523      0.20772422850131989      2.93914794921875         3.3147315979003906       0.4041995108127594       0.5612525343894958       1.0                      
2600                     3.6806511735916136       340918272                428.4230651855469        537.6122436523438        4173                     349.6228942871094        443.2179870605469        56588                    12.346903800964355       -0.030333956703543663    0.1124420166015625       1.0004113912582397       3.7496981803997187e-06   -0.04097310081124306     3.5401041507720947       0.23996883630752563      0.22236505150794983      2.782113790512085        3.4539430141448975       0.4041995108127594       0.5612525343894958       1.0                      
2800                     3.9644541729158824       367132672                449.4257507324219        560.6293334960938        4125                     403.4124450683594        510.0604248046875        49077                    8.618029594421387        -0.028950825333595276    0.1105499267578125       1.0007845163345337       4.7036833166203e-06      -0.004506285302340984    2.9555001258850098       0.2627294063568115       0.23320500552654266      2.764479398727417        3.5406880378723145       0.4041995108127594       0.5612525343894958       1.0                      
3000                     4.247249827252494        393347072                456.6911926269531        568.1913452148438        4123                     426.6187438964844        537.2299194335938        46485                    6.992268085479736        -0.02990628220140934     0.10315857082605362      1.0005570650100708       2.6755649287224514e-06   0.023045210167765617     2.656460762023926        0.27893418073654175      0.2402418702840805       2.6961965560913086       3.5530550479888916       0.4041995108127594       0.5612525343894958       1.0                      
3200                     4.529286253121164        419561472                467.35186767578125       578.8911743164062        4108                     436.4653625488281        547.5973510742188        45585                    6.544408798217773        -0.02521546557545662     0.10780792683362961      0.9997435808181763       4.2144961298618e-06      -0.06403293460607529     2.577573537826538        0.29603463411331177      0.24627681076526642      2.5756828784942627       3.4943864345550537       0.4041995108127594       0.5612525343894958       1.0                      
3400                     4.809679168528981        445775872                476.1961975097656        587.7611694335938        4100                     450.0731201171875        561.8312377929688        44250                    6.179526329040527        -0.02871960774064064     0.09964599460363388      1.0006442070007324       1.5954840364429401e-06   -0.04193069785833359     2.496865749359131        0.31238996982574463      0.25012505054473877      2.4150404930114746       3.366990566253662        0.4041995108127594       0.5612525343894958       1.0                      
3600                     5.0874713639418285       471990272                478.6411437988281        588.99365234375          4096                     459.2272644042969        570.2442626953125        43560                    4.398674488067627        -0.019574034959077835    0.1091766357421875       1.0003025531768799       1.8266549659529119e-06   0.01594848930835724      2.1092817783355713       0.31399527192115784      0.2540377974510193       2.4744873046875          3.4460055828094482       0.4041995108127594       0.5612525343894958       1.0                      
3800                     5.364619140360091        498204672                477.5185241699219        585.8284301757812        4097                     460.2435607910156        569.6241455078125        43605                    4.804298400878906        -0.020560210570693016    0.10416259616613388      1.000828504562378        1.1151718126711785e-06   -0.03703729435801506     2.199681043624878        0.3268579840660095       0.25589504837989807      2.330143928527832        3.3283069133758545       0.4041995108127594       0.5612525343894958       1.0                      
4000                     5.641344516012404        524419072                480.22705078125          586.5686645507812        4101                     463.48394775390625       571.8780517578125        43382                    5.156153202056885        -0.025993406772613525    0.10852813720703125      0.999725341796875        2.956876187454327e-06    0.02440137416124344      2.2824478149414062       0.337029367685318        0.25820833444595337      2.3010029792785645       3.366814136505127        0.4041995108127594       0.5612525343894958       1.0                      
4200                     5.917298847966724        550633472                482.44439697265625       589.0996704101562        4102                     465.84637451171875       573.7008666992188        43210                    4.9379119873046875       -0.024978112429380417    0.10182342678308487      1.0001497268676758       2.09456698030408e-06     -0.01875557005405426     2.2345077991485596       0.3403119444847107       0.26051750779151917      2.243129253387451        3.268857717514038        0.4041995108127594       0.5612525343894958       1.0                      
4400                     6.188637896908654        576847872                485.68829345703125       591.1287841796875        4099                     467.9910583496094        576.20458984375          43002                    4.49507474899292         -0.02171873301267624     0.105499267578125        1.0002906322479248       5.230420811130898e-06    -0.02208799123764038     2.132330894470215        0.35167309641838074      0.26010459661483765      2.135270118713379        3.208038330078125        0.4041995108127594       0.5612525343894958       1.0                      
4600                     6.458106078704199        603062272                486.8807067871094        592.354248046875         4096                     471.3297119140625        578.8744506835938        42746                    3.4162545204162598       -0.014043656177818775    0.12489777058362961      1.0007081031799316       2.032528072959394e-06    0.02093011885881424      1.8550004959106445       0.3529650568962097       0.2632525563240051       2.172428607940674        3.2458744049072266       0.4041995108127594       0.5612525343894958       1.0                      
4800                     6.7284467202425          629276672                486.9012145996094        592.1019897460938        4097                     471.0079040527344        578.1185913085938        42842                    4.429593086242676        -0.022593840956687927    0.10724792629480362      0.9997057914733887       3.2030316106101964e-06   0.026800017803907394     2.1160852909088135       0.35771459341049194      0.26540398597717285      2.110562801361084        3.179436445236206        0.4041995108127594       0.5612525343894958       1.0                      
5000                     6.999237975875537        655491072                485.0034484863281        589.950439453125         4097                     470.9381408691406        576.9884643554688        42929                    3.9991166591644287       -0.019463788717985153    0.10740356892347336      1.0006729364395142       2.0887457594653824e-06   0.000791521742939949     2.023953914642334        0.3748687505722046       0.2648167312145233       1.897840976715088        2.9492077827453613       0.4041995108127594       0.5612525343894958       1.0                      
5200                     7.271019478638967        681705472                485.6058654785156        590.62939453125          4099                     469.3199462890625        575.7403564453125        43056                    4.036592960357666        -0.017159685492515564    0.10801392048597336      1.0008963346481323       1.4117025557425222e-06   0.021860850974917412     2.0214312076568604       0.38611534237861633      0.2641362249851227       1.8110729455947876       2.895961046218872        0.4041995108127594       0.5612525343894958       1.0                      
5400                     7.542467476858033        707919872                485.8869323730469        590.6307373046875        4097                     470.9128112792969        577.118408203125         42929                    4.1800432205200195       -0.01888114959001541     0.0970916748046875       1.000571846961975        3.482354486550321e-06    0.005738150328397751     2.0529515743255615       0.38313019275665283      0.26603808999061584      1.8427395820617676       2.927016258239746        0.4041995108127594       0.5612525343894958       1.0                      
5600                     7.815667909118864        734134272                485.6706237792969        590.3206176757812        4101                     467.73248291015625       572.4908447265625        43298                    2.9882237911224365       -0.01221233606338501     0.10861816257238388      1.0002330541610718       3.2631396607030183e-06   0.05303462594747543      1.7373095750808716       0.3917311728000641       0.2669224739074707       1.7310857772827148       2.7767233848571777       0.4041995108127594       0.5612525343894958       1.0                      
5800                     8.088179862499237        760348672                485.68402099609375       589.8655395507812        4098                     470.5019836425781        575.2601928710938        43103                    4.271692752838135        -0.021362435072660446    0.10039520263671875      1.0001301765441895       2.7985313408862567e-06   -0.036904651671648026    2.0775623321533203       0.3969850540161133       0.26388975977897644      1.665568232536316        2.7369377613067627       0.4041995108127594       0.5612525343894958       1.0                      
