Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Critic_Loss              Actor_Loss               Clip_Frac                Imp_Ratio                Action_Bound_Loss        Adv_Mean                 Adv_Std                  Smp_Reward_Mean          Smp_Reward_Std           Sds_Loss_Mean            Sds_Loss_Std             Obs_Norm_Mean            Obs_Norm_Std             Exp_Prob                 
0                        0.005028467443254259     131072                   2.9865424633026123       17.229333877563477       18729                    2.50966477394104         14.61949348449707        5900                     0.9045699834823608       0.003337947651743889     0.03550872951745987      0.9997162818908691       0.0                      0.5576958656311035       0.8651014566421509       0.053196050226688385     0.13337969779968262      2.400829553604126        1.8905267715454102       0.3856760859489441       0.41365107893943787      1.0                      
100                      0.14452558504210578      13238272                 5.304590702056885        23.037935256958008       11623                    4.125183582305908        21.082279205322266       619008                   0.4806409478187561       -0.002070606919005513    0.06505431979894638      0.9997432827949524       0.0                      0.004603829234838486     0.694927453994751        0.12043558806180954      0.23350752890110016      3.036669969558716        2.0879929065704346       0.34989821910858154      0.39595654606819153      1.0                      
200                      0.28308823737833233      26345472                 7.159152984619141        26.45178985595703        14664                    6.617297172546387        25.867464065551758       504286                   0.5443847179412842       -0.0011975695379078388   0.08359222859144211      0.9998037219047546       0.0                      0.002499963389709592     0.7390136122703552       0.1390078365802765       0.25044193863868713      2.7693681716918945       1.9626332521438599       0.3454212546348572       0.40467938780784607      1.0                      
300                      0.4241295792659124       39452672                 8.9248046875             30.883861541748047       11693                    8.134405136108398        29.136463165283203       447418                   0.6710973978042603       -0.003871502820402384    0.08623351901769638      0.9998082518577576       0.0                      0.002373357070609927     0.820866584777832        0.1448337435722351       0.2475896179676056       2.571277379989624        2.0632500648498535       0.3430766761302948       0.4138071537017822       1.0                      
400                      0.5667521279388004       52559872                 11.449882507324219       37.69013977050781        11718                    10.023981094360352       34.13917922973633        381569                   0.8980417847633362       -0.005522662308067083    0.09708099812269211      0.9999047517776489       0.0                      0.01047440618276596      0.9503173232078552       0.1650039255619049       0.2398848831653595       2.2790913581848145       2.2353010177612305       0.34055349230766296      0.4201851785182953       1.0                      
500                      0.7079611687527763       65667072                 14.990904808044434       48.68042755126953        10452                    12.42245101928711        40.922523498535156       317727                   1.387531042098999        -0.0044873724691569805   0.08855438232421875      0.9997653961181641       0.0                      0.03953152522444725      1.1808117628097534       0.18915203213691711      0.22201304137706757      1.9796791076660156       2.3680243492126465       0.33827704191207886      0.42535242438316345      1.0                      
600                      0.8550355977482266       78774272                 186.8210906982422        404.9888000488281        4550                     33.02273941040039        90.09423828125           133099                   7.292498588562012        -0.0221919696778059      0.07232361286878586      0.9997879862785339       1.1903710239735688e-09   0.12534195184707642      2.7053749561309814       0.2232372909784317       0.09996280819177628      0.655876100063324        0.49617743492126465      0.33616188168525696      0.43146827816963196      1.0                      
700                      1.0021028888225556       91881472                 215.41600036621094       437.7289123535156        4397                     185.52255249023438       393.23382568359375       31167                    6.165988922119141        -0.02489253133535385     0.06652221828699112      0.9998869299888611       2.0382165644150518e-07   0.0748622864484787       2.486863136291504        0.24380901455879211      0.10042322427034378      0.553941011428833        0.4637993276119232       0.33443719148635864      0.43437519669532776      1.0                      
800                      1.1474780460860994       104988672                238.5491485595703        466.69500732421875       4315                     213.7699432373047        433.19085693359375       28698                    6.236509799957275        -0.023889316245913506    0.07217254489660263      1.0001972913742065       1.2493710244143585e-07   0.020068030804395676     2.502964496612549        0.2585001289844513       0.0889085978269577       0.48260411620140076      0.37625935673713684      0.33357593417167664      0.4347836673259735       1.0                      
900                      1.2916198654969533       118095872                252.01519775390625       480.7349548339844        4263                     233.07408142089844       457.38189697265625       27248                    7.33555269241333         -0.02674826979637146     0.06624908745288849      1.0000935792922974       3.110452837518096e-07    -0.07033463567495346     2.715538263320923        0.28753766417503357      0.08648309111595154      0.43171051144599915      0.28835785388946533      0.33357593417167664      0.4347836673259735       1.0                      
1000                     1.4356724168856938       131203072                279.3322448730469        501.7820129394531        4198                     250.23895263671875       474.3497009277344        26227                    8.140478134155273        -0.02769588492810726     0.07474517822265625      1.0002739429473877       2.343605309818031e-08    -0.11253054440021515     2.8608858585357666       0.2906464636325836       0.08088405430316925      0.4203531742095947       0.24669833481311798      0.33357593417167664      0.4347836673259735       1.0                      
1100                     1.5793139539824592       144310272                308.9576721191406        509.70703125             4188                     271.257080078125         489.3310241699219        25386                    9.054905891418457        -0.027559971436858177    0.0861968994140625       1.0005335807800293       5.515791485777299e-07    -0.28856316208839417     3.0231282711029053       0.2844957411289215       0.08157570660114288      0.4223450720310211       0.20580732822418213      0.33357593417167664      0.4347836673259735       1.0                      
1200                     1.7232858327362273       157417472                344.13232421875          518.2442626953125        4176                     293.7120361328125        496.4084777832031        24966                    9.431598663330078        -0.030102668330073357    0.09297027438879013      1.0006482601165771       1.529571562741694e-07    -0.28498151898384094     3.084584951400757        0.27632957696914673      0.08967838436365128      0.4336601495742798       0.1961752325296402       0.33357593417167664      0.4347836673259735       1.0                      
1300                     1.8670720092455546       170524672                370.9206848144531        528.2517700195312        4151                     318.0438537597656        502.82110595703125       24647                    9.326288223266602        -0.0297179464250803      0.10386810451745987      1.000681757926941        8.128133117679681e-07    -0.2720848619937897      3.0567495822906494       0.2770381271839142       0.09500939399003983      0.434223473072052        0.19639447331428528      0.33357593417167664      0.4347836673259735       1.0                      
1400                     2.0104583514398997       183631872                380.59576416015625       531.286865234375         4158                     341.4908142089844        514.5016479492188        24032                    10.204972267150879       -0.027479086071252823    0.09699096530675888      1.000217080116272        5.493893127095362e-07    -0.36574476957321167     3.209080696105957        0.2856927216053009       0.09539303183555603      0.4232259690761566       0.18124361336231232      0.33357593417167664      0.4347836673259735       1.0                      
1500                     2.1541877669758267       196739072                394.1828918457031        530.4283447265625        4158                     351.86602783203125       516.039306640625         23941                    9.244108200073242        -0.027162078768014908    0.12447662651538849      1.000562310218811        1.5450076489287312e-06   -0.3460163176059723      3.046308994293213        0.2881314754486084       0.0959978774189949       0.41902822256088257      0.15578220784664154      0.33357593417167664      0.4347836673259735       1.0                      
1600                     2.2980959471066793       209846272                408.1419372558594        536.2913208007812        4143                     362.7208557128906        519.0939331054688        23794                    9.545348167419434        -0.026098547503352165    0.10483551025390625      1.0003647804260254       2.907199814217165e-06    -0.4431127905845642      3.0985541343688965       0.28861820697784424      0.09972663968801498      0.4216149151325226       0.17442242801189423      0.33357593417167664      0.4347836673259735       1.0                      
1700                     2.4417456352710722       222953472                416.5614318847656        543.8096923828125        4147                     374.1534729003906        523.6934204101562        23536                    10.141607284545898       -0.025184614583849907    0.11733093112707138      1.0003923177719116       1.3421459925666568e-06   -0.4511762261390686      3.191153049468994        0.29449188709259033      0.09945148974657059      0.41373133659362793      0.16659490764141083      0.33357593417167664      0.4347836673259735       1.0                      
1800                     2.585611528688007        236060672                427.96551513671875       551.4854736328125        4132                     386.3222351074219        532.0466918945312        23178                    10.402853012084961       -0.02458067797124386     0.11109161376953125      1.0002564191818237       1.3188354387239087e-05   -0.5646060705184937      3.203176259994507        0.3010593354701996       0.10463398694992065      0.409954696893692        0.18117545545101166      0.33357593417167664      0.4347836673259735       1.0                      
1900                     2.729776337809033        249167872                436.5187683105469        557.1927490234375        4118                     397.1306457519531        537.9285888671875        22887                    9.405942916870117        -0.024992218241095543    0.12070007622241974      1.0003461837768555       3.740846750588389e-06    -0.46242353320121765     3.0730652809143066       0.304723858833313        0.10879245400428772      0.40775710344314575      0.1758212000131607       0.33357593417167664      0.4347836673259735       1.0                      
2000                     2.8727620606289967       262275072                439.7347412109375        557.3316650390625        4119                     404.1319274902344        542.6453247070312        22690                    9.305611610412598        -0.023907888680696487    0.11817016452550888      1.0003724098205566       3.658175728560309e-06    -0.5280893445014954      3.0534443855285645       0.3113049268722534       0.10635342448949814      0.39876222610473633      0.17073744535446167      0.33357593417167664      0.4347836673259735       1.0                      
2100                     3.016422323452102        275382272                440.7561950683594        555.953857421875         4117                     408.8352966308594        544.9249877929688        22612                    9.710945129394531        -0.024237075820565224    0.11217651516199112      0.9999874234199524       9.594373295840342e-06    -0.5678653717041016      3.1230595111846924       0.31935206055641174      0.10948386043310165      0.39203011989593506      0.18477660417556763      0.33357593417167664      0.4347836673259735       1.0                      
2200                     3.160051563978195        288489472                438.28350830078125       561.2401733398438        4109                     408.3287048339844        543.6721801757812        22645                    8.423972129821777        -0.0236930213868618      0.11419677734375         1.00053071975708         9.682441941549769e-07    -0.520499050617218       2.9165642261505127       0.32773536443710327      0.10785751789808273      0.38324296474456787      0.18754832446575165      0.33357593417167664      0.4347836673259735       1.0                      
2300                     3.30124245762825         301596672                447.24530029296875       561.942138671875         4113                     414.45684814453125       546.5425415039062        22539                    9.465859413146973        -0.02218986302614212     0.12721100449562073      1.0001543760299683       2.7047012736147735e-06   -0.5858905911445618      3.0887954235076904       0.33086439967155457      0.11135805398225784      0.38085490465164185      0.186717689037323        0.33357593417167664      0.4347836673259735       1.0                      
2400                     3.4591512297259435       314703872                444.7037353515625        559.2940673828125        4118                     416.1500549316406        548.625                  22428                    9.50438117980957         -0.02238602563738823     0.11467285454273224      1.0004140138626099       4.442734734766418e-06    -0.5641394853591919      3.0931496620178223       0.33727458119392395      0.11194729059934616      0.3742499351501465       0.18172107636928558      0.33357593417167664      0.4347836673259735       1.0                      
